rep,fold,fit_time,score_time,uar,war,microf1,macrof1,anger_rec,anger_prec,anger_f1,anger_ba,happiness_rec,happiness_prec,happiness_f1,happiness_ba,neutral_rec,neutral_prec,neutral_f1,neutral_ba,sadness_rec,sadness_prec,sadness_f1,sadness_ba,params,clf,features,corpus
0,0,1.7594239711761475,0.03313136100769043,0.9500000000000001,0.95,0.9500000000000001,0.9497235960715601,1.0,0.9523809523809523,0.975609756097561,0.9875,0.89,0.9270833333333334,0.9081632653061226,0.955,0.97,0.9897959183673469,0.9797979797979798,0.99,0.94,0.9306930693069307,0.9353233830845772,0.9675,"{""C"": 1, ""class_weight"": null, ""dual"": false, ""fit_intercept"": true, ""intercept_scaling"": 1, ""l1_ratio"": null, ""max_iter"": 100, ""multi_class"": ""multinomial"", ""n_jobs"": null, ""penalty"": ""l2"", ""random_state"": null, ""solver"": ""lbfgs"", ""tol"": 0.0001, ""verbose"": 0, ""warm_start"": false}",sk/lr,wav2vec2_audeering_ft_c_mean,SUBESCO
0,1,1.6208720207214355,0.03121495246887207,0.935,0.935,0.935,0.9338044771877219,1.0,0.9523809523809523,0.975609756097561,0.9875,0.94,0.8545454545454545,0.8952380952380952,0.945,1.0,0.9615384615384616,0.9803921568627451,0.99,0.8,0.9876543209876543,0.8839779005524862,0.9475,"{""C"": 1, ""class_weight"": null, ""dual"": false, ""fit_intercept"": true, ""intercept_scaling"": 1, ""l1_ratio"": null, ""max_iter"": 100, ""multi_class"": ""multinomial"", ""n_jobs"": null, ""penalty"": ""l2"", ""random_state"": null, ""solver"": ""lbfgs"", ""tol"": 0.0001, ""verbose"": 0, ""warm_start"": false}",sk/lr,wav2vec2_audeering_ft_c_mean,SUBESCO
0,2,2.255563497543335,0.014875173568725586,0.7975,0.7975,0.7975,0.7943190336768972,1.0,0.7633587786259542,0.8658008658008659,0.9225,0.82,0.9425287356321839,0.877005347593583,0.9425,0.8,0.6504065040650406,0.7174887892376682,0.8425,0.57,0.9661016949152542,0.7169811320754716,0.8875,"{""C"": 1, ""class_weight"": null, ""dual"": false, ""fit_intercept"": true, ""intercept_scaling"": 1, ""l1_ratio"": null, ""max_iter"": 100, ""multi_class"": ""multinomial"", ""n_jobs"": null, ""penalty"": ""l2"", ""random_state"": null, ""solver"": ""lbfgs"", ""tol"": 0.0001, ""verbose"": 0, ""warm_start"": false}",sk/lr,wav2vec2_audeering_ft_c_mean,SUBESCO
0,3,1.277092695236206,0.012936115264892578,0.795,0.795,0.795,0.7977459429908301,0.83,1.0,0.9071038251366119,0.9575,0.62,0.9393939393939394,0.7469879518072288,0.895,0.75,0.8064516129032258,0.77720207253886,0.8925,0.98,0.620253164556962,0.7596899224806202,0.845,"{""C"": 1, ""class_weight"": null, ""dual"": false, ""fit_intercept"": true, ""intercept_scaling"": 1, ""l1_ratio"": null, ""max_iter"": 100, ""multi_class"": ""multinomial"", ""n_jobs"": null, ""penalty"": ""l2"", ""random_state"": null, ""solver"": ""lbfgs"", ""tol"": 0.0001, ""verbose"": 0, ""warm_start"": false}",sk/lr,wav2vec2_audeering_ft_c_mean,SUBESCO
0,4,0.946509599685669,0.011191368103027344,0.8025,0.8025,0.8025,0.8028496802890447,0.82,1.0,0.9010989010989011,0.955,0.9,0.8108108108108109,0.8530805687203792,0.9225,0.85,0.7083333333333334,0.7727272727272727,0.875,0.64,0.735632183908046,0.6844919786096256,0.8525,"{""C"": 1, ""class_weight"": null, ""dual"": false, ""fit_intercept"": true, ""intercept_scaling"": 1, ""l1_ratio"": null, ""max_iter"": 100, ""multi_class"": ""multinomial"", ""n_jobs"": null, ""penalty"": ""l2"", ""random_state"": null, ""solver"": ""lbfgs"", ""tol"": 0.0001, ""verbose"": 0, ""warm_start"": false}",sk/lr,wav2vec2_audeering_ft_c_mean,SUBESCO
0,5,0.8737185001373291,0.011179924011230469,0.9075,0.9075,0.9075,0.9065455208244854,1.0,1.0,1.0,1.0,0.98,0.7903225806451613,0.8749999999999999,0.93,0.92,0.989247311827957,0.9533678756476685,0.9775,0.73,0.8795180722891566,0.7978142076502732,0.9075,"{""C"": 1, ""class_weight"": null, ""dual"": false, ""fit_intercept"": true, ""intercept_scaling"": 1, ""l1_ratio"": null, ""max_iter"": 100, ""multi_class"": ""multinomial"", ""n_jobs"": null, ""penalty"": ""l2"", ""random_state"": null, ""solver"": ""lbfgs"", ""tol"": 0.0001, ""verbose"": 0, ""warm_start"": false}",sk/lr,wav2vec2_audeering_ft_c_mean,SUBESCO
0,6,0.8119158744812012,0.011321783065795898,0.8450000000000001,0.845,0.845,0.8373911605625461,0.98,0.9702970297029703,0.9751243781094527,0.9875,0.93,0.9207920792079208,0.9253731343283582,0.9625,0.95,0.6834532374100719,0.7949790794979079,0.8775,0.52,0.8813559322033898,0.6540880503144655,0.8625,"{""C"": 1, ""class_weight"": null, ""dual"": false, ""fit_intercept"": true, ""intercept_scaling"": 1, ""l1_ratio"": null, ""max_iter"": 100, ""multi_class"": ""multinomial"", ""n_jobs"": null, ""penalty"": ""l2"", ""random_state"": null, ""solver"": ""lbfgs"", ""tol"": 0.0001, ""verbose"": 0, ""warm_start"": false}",sk/lr,wav2vec2_audeering_ft_c_mean,SUBESCO
0,7,0.8043568134307861,0.011199951171875,0.915,0.915,0.915,0.9147597960528335,1.0,0.847457627118644,0.9174311926605504,0.955,0.89,0.9888888888888889,0.9368421052631579,0.97,0.82,0.9761904761904762,0.8913043478260869,0.95,0.95,0.8796296296296297,0.9134615384615385,0.955,"{""C"": 1, ""class_weight"": null, ""dual"": false, ""fit_intercept"": true, ""intercept_scaling"": 1, ""l1_ratio"": null, ""max_iter"": 100, ""multi_class"": ""multinomial"", ""n_jobs"": null, ""penalty"": ""l2"", ""random_state"": null, ""solver"": ""lbfgs"", ""tol"": 0.0001, ""verbose"": 0, ""warm_start"": false}",sk/lr,wav2vec2_audeering_ft_c_mean,SUBESCO
0,8,0.84975266456604,0.011366128921508789,0.8525,0.8525,0.8525,0.847493684696987,0.62,1.0,0.7654320987654321,0.905,0.88,0.8148148148148148,0.8461538461538461,0.92,0.95,0.7851239669421488,0.8597285067873304,0.9225,0.96,0.8807339449541285,0.9186602870813397,0.9575,"{""C"": 1, ""class_weight"": null, ""dual"": false, ""fit_intercept"": true, ""intercept_scaling"": 1, ""l1_ratio"": null, ""max_iter"": 100, ""multi_class"": ""multinomial"", ""n_jobs"": null, ""penalty"": ""l2"", ""random_state"": null, ""solver"": ""lbfgs"", ""tol"": 0.0001, ""verbose"": 0, ""warm_start"": false}",sk/lr,wav2vec2_audeering_ft_c_mean,SUBESCO
0,9,0.7824885845184326,0.011112451553344727,0.915,0.915,0.915,0.9150267640634859,0.86,1.0,0.924731182795699,0.965,0.89,0.9175257731958762,0.9035532994923858,0.9525,0.93,0.8773584905660378,0.9029126213592233,0.95,0.98,0.8828828828828829,0.9289099526066351,0.9625,"{""C"": 1, ""class_weight"": null, ""dual"": false, ""fit_intercept"": true, ""intercept_scaling"": 1, ""l1_ratio"": null, ""max_iter"": 100, ""multi_class"": ""multinomial"", ""n_jobs"": null, ""penalty"": ""l2"", ""random_state"": null, ""solver"": ""lbfgs"", ""tol"": 0.0001, ""verbose"": 0, ""warm_start"": false}",sk/lr,wav2vec2_audeering_ft_c_mean,SUBESCO
